TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number,Estimated annual number (under age 18),"Estimated annual rate (age 18+) per 100,000 adults","Estimated annual rate (under age 18) per 100,000 children",IndicatorID,ResultID,Result
2015-2017,UHF42,307,4,Gramercy Park - Murray Hill,26,5.9,21.5,56.6,386,2,Asthma
2015-2017,UHF42,308,4,Greenwich Village - SoHo,6.5,1.6,8.6,18,386,2,Asthma
2015-2017,UHF42,309,4,Union Square - Lower East Side,70.6,29.1,40.7,124.9,386,2,Asthma
2015-2017,UHF42,310,4,Lower Manhattan,15,3.8,28.9,47.4,386,2,Asthma
2015-2017,UHF42,401,4,Long Island City - Astoria,52.8,19.6,28.7,58.8,386,2,Asthma
2015-2017,UHF42,402,4,West Queens,78.7,79,20.7,80.7,386,2,Asthma
2015-2017,UHF42,403,4,Flushing - Clearview,26.1,17.6,11.9,39.7,386,2,Asthma
2015-2017,UHF42,404,4,Bayside - Little Neck,5.2,3.3,7,19,386,2,Asthma
2015-2017,UHF42,405,4,Ridgewood - Forest Hills,38.2,21.2,18.4,43.3,386,2,Asthma
2015-2017,UHF42,406,4,Fresh Meadows,16.6,11.9,20.5,54.8,386,2,Asthma
2015-2017,UHF42,407,4,Southwest Queens,65.1,40.8,28.3,61.2,386,2,Asthma
2015-2017,UHF42,408,4,Jamaica,124.6,72.5,49,105.7,386,2,Asthma
2015-2017,UHF42,409,4,Southeast Queens,50.2,25.3,28.9,60.1,386,2,Asthma
2015-2017,UHF42,410,4,Rockaways,58.4,27,63,84.8,386,2,Asthma
2015-2017,UHF42,501,4,Port Richmond,37.2,19.5,74.6,107.9,386,2,Asthma
2015-2017,UHF42,502,4,Stapleton - St. George,52.7,21.3,53.8,78.7,386,2,Asthma
2015-2017,UHF42,503,4,Willowbrook,15.3,5.5,21.4,30.4,386,2,Asthma
2015-2017,UHF42,504,4,South Beach - Tottenville,21.4,7.9,13.9,19.3,386,2,Asthma
2015-2017,Borough,1,1,Bronx,962.7,650.8,87.6,177.5,386,2,Asthma
2015-2017,Borough,2,1,Brooklyn,"1,057.10",526.3,51.7,87.3,386,2,Asthma
2015-2017,Borough,3,1,Manhattan,635.7,268.1,45,113.3,386,2,Asthma
2015-2017,Borough,4,1,Queens,515.9,318.1,27.2,67.3,386,2,Asthma
2015-2017,Borough,5,1,Staten Island,126.6,54.2,33.9,52,386,2,Asthma
2015-2017,Citywide,1,0,New York City,"3,298.00","1,817.50",48.3,101.9,386,2,Asthma
2012-2014,UHF42,101,4,Kingsbridge - Riverdale,25.5,19,34.4,102.7,386,2,Asthma
2012-2014,UHF42,102,4,Northeast Bronx,123.3,81,81.9,184.4,386,2,Asthma
2012-2014,UHF42,103,4,Fordham - Bronx Pk,191.1,160.1,99.5,232.6,386,2,Asthma
2012-2014,UHF42,104,4,Pelham - Throgs Neck,181.8,120.5,78,164.3,386,2,Asthma
2012-2014,UHF42,105,4,Crotona -Tremont,208.6,145.1,138.1,234.9,386,2,Asthma
2012-2014,UHF42,106,4,High Bridge - Morrisania,206.6,151.9,134.5,248.9,386,2,Asthma
2012-2014,UHF42,107,4,Hunts Point - Mott Haven,148.1,97.6,146.8,237.6,386,2,Asthma
2012-2014,UHF42,201,4,Greenpoint,32.7,14.1,32.1,50.5,386,2,Asthma
2012-2014,UHF42,202,4,Downtown - Heights - Slope,81.4,37.4,42.9,87.6,386,2,Asthma
2012-2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,307.2,160.6,124.3,213.9,386,2,Asthma
2012-2014,UHF42,204,4,East New York,157.8,96.2,115.2,182.4,386,2,Asthma
2012-2014,UHF42,205,4,Sunset Park,34.3,15.7,33.1,49.9,386,2,Asthma
2012-2014,UHF42,206,4,Borough Park,37.5,24.6,15.1,24,386,2,Asthma
2012-2014,UHF42,207,4,East Flatbush - Flatbush,158.3,92.7,67.6,137.4,386,2,Asthma
2012-2014,UHF42,208,4,Canarsie - Flatlands,80.2,44.3,52.2,98.8,386,2,Asthma
2012-2014,UHF42,209,4,Bensonhurst - Bay Ridge,25.7,10.6,14.5,24.2,386,2,Asthma
2012-2014,UHF42,210,4,Coney Island - Sheepshead Bay,65.1,26.1,26.8,42.4,386,2,Asthma
2012-2014,UHF42,211,4,Williamsburg - Bushwick,192.1,108.2,120.8,196.9,386,2,Asthma
2012-2014,UHF42,301,4,Washington Heights,97.9,61.4,47.2,126.2,386,2,Asthma
2012-2014,UHF42,302,4,Central Harlem - Morningside Heights,180.3,92.3,136.2,277.7,386,2,Asthma
2012-2014,UHF42,303,4,East Harlem,137.2,64.5,154.9,261.6,386,2,Asthma
2012-2014,UHF42,304,4,Upper West Side,52,23.3,26.9,69.6,386,2,Asthma
2012-2014,UHF42,305,4,Upper East Side,17.1,8.5,8.8,26.2,386,2,Asthma
2012-2014,UHF42,306,4,Chelsea - Clinton,39.1,9.4,28.6,75.7,386,2,Asthma
2012-2014,UHF42,307,4,Gramercy Park - Murray Hill,28.5,5.3,22.5,48.8,386,2,Asthma
2012-2014,UHF42,308,4,Greenwich Village - SoHo,5.9,1.7,7.7,18.5,386,2,Asthma
2012-2014,UHF42,309,4,Union Square - Lower East Side,73.5,31.9,40.9,127,386,2,Asthma
2012-2014,UHF42,310,4,Lower Manhattan,11.7,4.1,24.6,55.3,386,2,Asthma
2012-2014,UHF42,401,4,Long Island City - Astoria,57,20.5,31.2,59.9,386,2,Asthma
2012-2014,UHF42,402,4,West Queens,72.5,64.9,18.1,62,386,2,Asthma
2012-2014,UHF42,403,4,Flushing - Clearview,30.2,18,13.5,39.2,386,2,Asthma
2012-2014,UHF42,404,4,Bayside - Little Neck,7.1,3.3,9.8,19.5,386,2,Asthma
2012-2014,UHF42,405,4,Ridgewood - Forest Hills,39.1,27.5,19.5,57.6,386,2,Asthma
2012-2014,UHF42,406,4,Fresh Meadows,19.9,12.2,25.6,57.7,386,2,Asthma
2012-2014,UHF42,407,4,Southwest Queens,71.3,51.8,33.9,83.7,386,2,Asthma
2012-2014,UHF42,408,4,Jamaica,142.3,87.1,61.5,133.6,386,2,Asthma
2012-2014,UHF42,409,4,Southeast Queens,57,34.1,35.8,83.8,386,2,Asthma
2012-2014,UHF42,410,4,Rockaways,61.9,27.7,72.6,91,386,2,Asthma
2012-2014,UHF42,501,4,Port Richmond,38.6,21.6,74.4,109.6,386,2,Asthma
2012-2014,UHF42,502,4,Stapleton - St. George,58,26.4,59.3,94.8,386,2,Asthma
2012-2014,UHF42,503,4,Willowbrook,14.8,6.3,21.6,35.5,386,2,Asthma
2012-2014,UHF42,504,4,South Beach - Tottenville,27.7,11.7,18.6,29,386,2,Asthma
2012-2014,Borough,1,1,Bronx,"1,085.00",775.3,102.8,210.4,386,2,Asthma
2012-2014,Borough,2,1,Brooklyn,"1,172.30",630.4,58.8,104.3,386,2,Asthma
2012-2014,Borough,3,1,Manhattan,643.4,302.3,46.5,127.2,386,2,Asthma
2012-2014,Borough,4,1,Queens,558.3,347.2,30.3,74,386,2,Asthma
2012-2014,Borough,5,1,Staten Island,139.1,66,37.9,62.5,386,2,Asthma
2012-2014,Citywide,1,0,New York City,"3,598.10","2,121.30",54.1,118.8,386,2,Asthma
2009-2011,UHF42,101,4,Kingsbridge - Riverdale,19.5,11.9,26.5,66.2,386,2,Asthma
2009-2011,UHF42,102,4,Northeast Bronx,61.5,35.4,42.2,79.3,386,2,Asthma
2009-2011,UHF42,103,4,Fordham - Bronx Pk,135,86.3,73.6,125,386,2,Asthma
2009-2011,UHF42,104,4,Pelham - Throgs Neck,131.2,84.6,58.1,116,386,2,Asthma
2009-2011,UHF42,105,4,Crotona -Tremont,182.4,114.7,127.4,183.9,386,2,Asthma
2009-2011,UHF42,106,4,High Bridge - Morrisania,164.7,124.7,113.1,202,386,2,Asthma
2009-2011,UHF42,107,4,Hunts Point - Mott Haven,113.2,85.6,119.1,206.3,386,2,Asthma
2009-2011,UHF42,201,4,Greenpoint,26.7,16,26.9,58.6,386,2,Asthma
2009-2011,UHF42,202,4,Downtown - Heights - Slope,79.1,39.3,43.5,95.3,386,2,Asthma
2009-2011,UHF42,203,4,Bedford Stuyvesant - Crown Heights,254.8,148.1,105.4,191.4,386,2,Asthma
2009-2011,UHF42,204,4,East New York,127.4,88.8,95,164,386,2,Asthma
2009-2011,UHF42,205,4,Sunset Park,38.4,18,39.1,59.5,386,2,Asthma
2009-2011,UHF42,206,4,Borough Park,36.4,22,15.4,22.7,386,2,Asthma
2009-2011,UHF42,207,4,East Flatbush - Flatbush,149.6,88.9,65.9,129.2,386,2,Asthma
2009-2011,UHF42,208,4,Canarsie - Flatlands,74.4,44.3,49.8,97.7,386,2,Asthma
2009-2011,UHF42,209,4,Bensonhurst - Bay Ridge,23.4,10.4,13.7,24.9,386,2,Asthma
2009-2011,UHF42,210,4,Coney Island - Sheepshead Bay,57.2,25.4,24,42.3,386,2,Asthma
2009-2011,UHF42,211,4,Williamsburg - Bushwick,176.4,103.2,113.7,185.8,386,2,Asthma
2009-2011,UHF42,301,4,Washington Heights,83.5,63.9,41.7,130.2,386,2,Asthma
2009-2011,UHF42,302,4,Central Harlem - Morningside Heights,169.3,91.6,130.4,269.9,386,2,Asthma
2009-2011,UHF42,303,4,East Harlem,115.9,69,135.2,276,386,2,Asthma
2009-2011,UHF42,304,4,Upper West Side,45.3,22.5,24.1,69.8,386,2,Asthma
2009-2011,UHF42,305,4,Upper East Side,17.6,11,9.3,35.4,386,2,Asthma
2009-2011,UHF42,306,4,Chelsea - Clinton,32.9,10.9,24.6,91.6,386,2,Asthma
2009-2011,UHF42,307,4,Gramercy Park - Murray Hill,24.3,7.2,19.6,70,386,2,Asthma
2009-2011,UHF42,308,4,Greenwich Village - SoHo,6.7,2.1,8.9,24.2,386,2,Asthma
2009-2011,UHF42,309,4,Union Square - Lower East Side,74.2,35.2,42.5,144,386,2,Asthma
2009-2011,UHF42,310,4,Lower Manhattan,12.6,4,27,56.8,386,2,Asthma
2009-2011,UHF42,401,4,Long Island City - Astoria,50,25.7,27.1,75,386,2,Asthma
2009-2011,UHF42,402,4,West Queens,63,74.5,16.1,72.4,386,2,Asthma
2009-2011,UHF42,403,4,Flushing - Clearview,22.4,17.8,10.5,40,386,2,Asthma
2009-2011,UHF42,404,4,Bayside - Little Neck,5.5,4.6,7.8,27.5,386,2,Asthma
2009-2011,UHF42,405,4,Ridgewood - Forest Hills,33,26.3,16.6,56.3,386,2,Asthma
2009-2011,UHF42,406,4,Fresh Meadows,15.7,12.7,20.7,60.9,386,2,Asthma
2009-2011,UHF42,407,4,Southwest Queens,71.3,54.2,35,89,386,2,Asthma
2009-2011,UHF42,408,4,Jamaica,120.3,95.6,54.1,144.7,386,2,Asthma
2009-2011,UHF42,409,4,Southeast Queens,54.6,37.4,35.5,90.2,386,2,Asthma
2009-2011,UHF42,410,4,Rockaways,50.3,42.3,59.7,137.4,386,2,Asthma
2009-2011,UHF42,501,4,Port Richmond,42.7,23.7,84.7,118.8,386,2,Asthma
2009-2011,UHF42,502,4,Stapleton - St. George,55.4,28.9,58.1,101.7,386,2,Asthma
2009-2011,UHF42,503,4,Willowbrook,15,8.6,22.3,47.3,386,2,Asthma
2009-2011,UHF42,504,4,South Beach - Tottenville,23.4,12.5,15.9,29.8,386,2,Asthma
2009-2011,Borough,1,1,Bronx,807.5,543.2,79.8,146.7,386,2,Asthma
2009-2011,Borough,2,1,Brooklyn,"1,043.90",604.4,54,101,386,2,Asthma
2009-2011,Borough,3,1,Manhattan,582.3,317.4,43.2,135.7,386,2,Asthma
2009-2011,Borough,4,1,Queens,486,391,27,84.1,386,2,Asthma
2009-2011,Borough,5,1,Staten Island,136.5,73.7,37.9,67.9,386,2,Asthma
2009-2011,Citywide,1,0,New York City,"3,056.10","1,929.70",47.4,108.6,386,2,Asthma
2005-2007,UHF42,101,4,Kingsbridge - Riverdale,20.4,12,30.1,68.3,386,2,Asthma
2005-2007,UHF42,102,4,Northeast Bronx,81.9,52.6,58.3,114.5,386,2,Asthma
2005-2007,UHF42,103,4,Fordham - Bronx Pk,151,87.3,84.1,115.8,386,2,Asthma
2005-2007,UHF42,104,4,Pelham - Throgs Neck,141,87,64.8,114.6,386,2,Asthma
2005-2007,UHF42,105,4,Crotona -Tremont,191.3,110.4,138.6,159.6,386,2,Asthma
2005-2007,UHF42,106,4,High Bridge - Morrisania,166.5,111.5,124,171.2,386,2,Asthma
2005-2007,UHF42,107,4,Hunts Point - Mott Haven,114.8,72.4,130.1,169.4,386,2,Asthma
2005-2007,UHF42,201,4,Greenpoint,24.7,15.8,27,42.7,386,2,Asthma
2005-2007,UHF42,202,4,Downtown - Heights - Slope,90.7,32.2,51.4,77.1,386,2,Asthma
2005-2007,UHF42,203,4,Bedford Stuyvesant - Crown Heights,223.3,135.9,98.5,155.7,386,2,Asthma
2005-2007,UHF42,204,4,East New York,105.2,75.2,86.4,136.8,386,2,Asthma
2005-2007,UHF42,205,4,Sunset Park,37.6,12.1,40.5,37.7,386,2,Asthma
2005-2007,UHF42,206,4,Borough Park,27.7,12,11.6,12.4,386,2,Asthma
2005-2007,UHF42,207,4,East Flatbush - Flatbush,115,76.1,49.8,93.5,386,2,Asthma
2005-2007,UHF42,208,4,Canarsie - Flatlands,57,39.2,38.3,79.4,386,2,Asthma
2005-2007,UHF42,209,4,Bensonhurst - Bay Ridge,20.9,6.8,12.9,16.9,386,2,Asthma
2005-2007,UHF42,210,4,Coney Island - Sheepshead Bay,52.3,21.8,22.6,33.4,386,2,Asthma
2005-2007,UHF42,211,4,Williamsburg - Bushwick,135.1,84.1,98.3,138.7,386,2,Asthma
2005-2007,UHF42,301,4,Washington Heights,93.7,69.9,46.8,110.4,386,2,Asthma
2005-2007,UHF42,302,4,Central Harlem - Morningside Heights,171.4,103,156.1,292.5,386,2,Asthma
2005-2007,UHF42,303,4,East Harlem,114.8,62.4,143.9,224.8,386,2,Asthma
2005-2007,UHF42,304,4,Upper West Side,49.3,28.9,24.3,80.5,386,2,Asthma
2005-2007,UHF42,305,4,Upper East Side,17.3,10.8,8.5,30,386,2,Asthma
2005-2007,UHF42,306,4,Chelsea - Clinton,35.2,11.9,28.6,97.8,386,2,Asthma
2005-2007,UHF42,307,4,Gramercy Park - Murray Hill,23.7,4.8,19.6,42.4,386,2,Asthma
2005-2007,UHF42,308,4,Greenwich Village - SoHo,7.3,2.2,9.1,19.9,386,2,Asthma
2005-2007,UHF42,309,4,Union Square - Lower East Side,62.5,28.3,35,85.8,386,2,Asthma
2005-2007,UHF42,310,4,Lower Manhattan,8,2.9,26.9,57.2,386,2,Asthma
2005-2007,UHF42,401,4,Long Island City - Astoria,22,20,12.5,47.4,386,2,Asthma
2005-2007,UHF42,402,4,West Queens,68,64.9,17.3,61.5,386,2,Asthma
2005-2007,UHF42,403,4,Flushing - Clearview,24.4,20,11.3,38.8,386,2,Asthma
2005-2007,UHF42,404,4,Bayside - Little Neck,5.3,4.1,7.5,23.4,386,2,Asthma
2005-2007,UHF42,405,4,Ridgewood - Forest Hills,30.3,19,16.2,40.4,386,2,Asthma
2005-2007,UHF42,406,4,Fresh Meadows,15.2,10.3,21.1,49.7,386,2,Asthma
2005-2007,UHF42,407,4,Southwest Queens,55.1,42.4,27,63.5,386,2,Asthma
2005-2007,UHF42,408,4,Jamaica,104,71.7,47.7,103.9,386,2,Asthma
2005-2007,UHF42,409,4,Southeast Queens,45.7,34,29.7,72.9,386,2,Asthma
2005-2007,UHF42,410,4,Rockaways,45.9,39.3,58.8,135.2,386,2,Asthma
2005-2007,UHF42,501,4,Port Richmond,29.2,19,57.9,92.9,386,2,Asthma
2005-2007,UHF42,502,4,Stapleton - St. George,38.7,22,39.8,73.2,386,2,Asthma
2005-2007,UHF42,503,4,Willowbrook,11.2,5.5,16.2,28,386,2,Asthma
2005-2007,UHF42,504,4,South Beach - Tottenville,23.4,10.4,16.3,23.6,386,2,Asthma
2005-2007,Borough,1,1,Bronx,866.9,533.2,89.6,136.1,386,2,Asthma
2005-2007,Borough,2,1,Brooklyn,889.4,511.1,47.8,79,386,2,Asthma
2005-2007,Borough,3,1,Manhattan,583.2,325.1,43.8,120.1,386,2,Asthma
2005-2007,Borough,4,1,Queens,415.9,325.6,23.5,65.7,386,2,Asthma
2005-2007,Borough,5,1,Staten Island,102.5,56.9,28.4,49.9,386,2,Asthma
2005-2007,Citywide,1,0,New York City,"2,858.00","1,751.80",45.4,91.3,386,2,Asthma
